ATC,tsne0,tsne1,tsne2
L04AA36,-9.30591589699,-11.1109087353,-12.9123778704
S01EC54,2.25541372226,-0.276703271177,-14.8607936869
H05AA02,7.02148145793,11.7722460994,3.70984305703
N05AC01,13.7249314753,5.15534763291,-3.48371078738
R03AC03,10.6114521701,1.39405936195,13.3731966336
N03AX23,5.28540019988,2.26626315065,2.35893299027
R03BA05,12.692630028,4.35825886998,14.2620220219
C07AG02,4.27679257929,-21.7343062352,-4.46657365748
H01CB02,-5.65348409373,8.21470112841,19.3885913262
N05AH02,10.3020197075,-13.9610970531,7.93658076307
D07AC01,10.2754782226,2.46099862906,10.5446564337
N02AJ06,-1.04400465356,2.73125169393,-10.6392418748
L02AB02,10.5453932206,0.336987429734,0.82674259921
V01AA07,-7.6382154422,3.39957888836,5.22470162896
S01EC03,4.49670827666,1.77932323677,-20.1625197747
N04AA02,10.4984698034,12.1211120435,1.07447469122
J05AX07,13.7505549039,1.61333971015,-17.9537662001
R06AD02,-9.6891560416,9.16692140653,12.0010076335
C01DX,23.2077860314,9.8267869314,4.1322570933
G03AA07,2.09642147383,11.8027486209,-15.774976669
N02CX,4.56927411705,13.1949996905,1.63297364056
C01BB01,8.4586629979,15.9619418625,7.22697693803
R01AA05,-13.7294535742,14.091897299,2.85525260033
N04BC05,-7.31625277511,2.99210173137,-3.43659080757
B01AC05,4.21964530273,10.3332679542,0.77570006729
S01AA11,18.3427278521,-8.34246982399,-4.57129496857
N05BA04,10.6774781016,7.5182167952,0.219243416034
,1.3027553082,11.6279238833,-5.53729324088
L01XE08,4.71920252452,3.73127056287,12.2575987963
M05BA08,-3.56625202625,2.90543224946,0.237495881147
L04AB04,-2.20847380884,-10.8889487307,-5.67108192529
V03AF01,-2.45492313037,-4.40527044867,6.88664374746
C10BX03,8.50474623477,-10.403642467,11.1066777265
C09CA08,2.29395751423,-2.74923357663,14.2756962821
B01AC22,3.94181021692,-13.5004837748,1.78601543037
R01AC02,-9.76186371735,15.5032720645,0.913638763131
L01CA04,-13.5224816172,-7.52009799606,-1.39672138754
C01EB17,3.55903755059,-17.1941263796,0.37294294256
J05AE08,14.2504911061,3.18238013362,-7.92751231883
A10BH04,16.4147373919,11.3416308039,14.4306903396
A10AD04,17.6009486941,11.3591331237,11.0881522405
G03XA02,7.7551286547,4.84769498159,3.79337371312
G03AC03,4.05589024421,15.4296957069,-15.8636328101
C01AA05,8.27550584743,9.93662366804,-8.74193629412
L01XC18,-8.51643541405,4.34698282618,12.3431667443
L04AA31,-9.16229542978,-9.95969572305,-15.5641659627
S01GA01,-6.83229483388,13.9796055727,2.99153394012
N06BA12,-11.9125729206,-0.162979719314,-14.8336484941
C02DB02,9.73868557571,-4.52974750233,9.23754097803
J01EA01,-5.34501958708,1.44518684007,-10.1440994784
G03GA08,9.56561370205,-5.74159332746,-9.2504657299
A01AD11,-8.06626214817,10.4659878413,9.36374551075
G04BE03,-13.0001008726,10.227723442,2.43611292834
G03FA14,5.24183503684,3.80425819199,23.7695109433
L02BX02,-14.2052982232,-12.8125443713,6.97738186566
C02AB01,9.77107430812,-5.94359097376,9.93585960513
A06AC53,10.7646016204,12.4313038062,4.97503728279
L01XA01,-11.3091025062,-6.31521015415,0.848063914761
J01XX05,2.66118507661,11.0356262657,16.5531907428
M04AA03,2.56712985838,-6.93987521515,0.409500011243
N06AG02,14.0946152085,9.96504900257,-2.53772364106
J05AE11,-8.13820354875,10.6547549566,-5.46514949132
S01EE,0.623685846217,5.99198027666,-15.2693435246
R03AC18,13.7841614526,-1.64972776477,15.102192179
R03AK07,15.5546688832,-0.824796452983,17.2969440128
A12AA04,10.1921615035,22.0345722714,-0.276787825727
C07AA03,8.37719561623,10.9608686748,0.418116800473
A11CC04,2.83349591634,11.2926590644,6.57772606025
J05AB09,3.88038357807,3.13448064502,-6.64639730531
N06AA10,16.5724405501,9.22550560227,0.0981709222429
N02AC,8.58179017188,22.7599765458,7.68560986394
C10BA06,2.7157071829,-11.3196174166,9.57457595844
G04CB01,-7.39370060775,20.2068212625,1.65168595779
V07A,-2.91212159674,9.26396376607,5.3939312761
C10AA01,7.64951421114,-12.9831155024,10.9298919504
L01BB04,-0.845984614439,-1.66888542614,6.37677093973
D01AE16,-8.12506845849,18.1378861931,1.92440535022
V06DB,13.2322682749,4.05327301966,20.029734964
L01BC02,-5.54533173505,-1.52421366653,-16.6499355888
H01BB02,3.57769418937,3.93793884866,3.1036124213
P02BA01,-4.53063760165,0.223788364391,-6.21971842493
D02AB,-3.09605454033,12.6304507083,3.10132482944
N07XX09,-7.35364925854,-11.1802384683,-15.0673145295
N06AB04,13.8229538631,13.6860200717,-3.05510008378
S01GA51,-7.68996952724,15.5028633161,0.831892622063
S02AA01,9.61433043791,-2.28376862929,12.205913263
J05AR13,9.43155736309,5.07607153666,-18.5200002617
C02AC05,8.4709237024,-7.27103901415,9.97459616822
N04BC01,-3.91441911185,5.07912387047,-2.46865502168
M02AC,-10.1969939436,17.8638798566,0.325499374681
N02AA03,2.79376484076,20.2346747875,11.122318271
S02AA04,1.08776794531,6.72017710587,-0.873690602738
R01BA02,-8.96598938961,13.6002973097,-1.40161585188
A02BC02,4.5232781973,13.5948743009,11.2206107365
P01BF01,3.70629646743,1.14231402097,0.445033882552
L01BA04,-16.0759119386,-7.6663063804,-0.372488789629
S01AD09,9.20235635194,6.04471204371,4.96401476461
J05AR02,13.3436530253,6.79974095642,-13.8181615068
J05AF09,14.1270344463,3.9392876075,-12.5504366693
L02BX03,-11.2191104717,-12.7549029532,4.27312031227
N05AX16,9.3769983065,-13.3344452588,0.35595830741
N06AA16,13.101825271,11.0572799075,-0.346861833972
L04AB01,-2.31711785252,-14.2832263543,-3.26605354971
A03AA04,-9.38976002321,17.3973710995,3.39838448022
N02AX02,0.502620000911,3.61794560355,14.9403290808
L01XC03,6.98080167488,-9.36188166225,-15.7935808766
H01AB01,1.91943161355,1.78549366475,18.18157052
G04BX,2.63994151435,10.5603251748,8.53682341948
S01EA05,4.01553007043,1.2588253936,-14.8245052285
A02BA01,10.0690823241,7.12267491097,8.86809821697
L04AC13,-5.5218575942,-19.3220381595,-7.1650590452
L01AA09,-5.65915917718,-4.20892867431,8.78114288122
S01AA01,7.6267179956,0.547951495393,13.3456999774
N07BA01,14.4368530161,9.68829290888,-7.47983803215
A10AD01,17.2962430422,10.5541658771,8.76340714366
D11AX,-17.6178076039,7.13386935974,-0.0649478951951
P01AX,7.5223220012,-6.5222359672,-5.57051721083
N02CC02,-16.3778234104,4.34169203921,10.0761492727
N05CD08,2.24504012367,5.9016648161,2.94378140543
N05AE04,8.95694390453,-15.5523519845,3.65665292277
V04CA02,15.2423764611,13.6796280608,9.88373878866
N02AE01,8.31111234258,19.0696477274,5.00931416424
G02AD06,-9.31429226045,-9.31542663618,-5.95166559599
J01GB01,-17.5102598942,-4.0505394011,-8.28344578082
G04BD,-15.3194430159,-1.98081518212,-3.40878137662
L01XX17,0.173270561264,7.14349370843,13.9019481591
N04BD02,-11.3307110095,1.56547529189,-7.26496134902
A03BA01,2.78664239583,-5.01629030705,-11.6371796475
A10BH01,17.4615975346,13.7382246721,11.2914372548
C01CA24,12.7438306623,4.41492443994,10.875172636
C02AC01,11.7398177866,7.31947816391,-5.75195331335
R06AE07,-12.7852417009,15.0804206506,5.20166300767
N06AX03,11.3394794062,10.3112269863,-0.989620284842
J07AM51,13.0541293146,4.65118231741,5.91289084307
C10BA02,6.15038402536,-11.1799937093,12.0779731152
N02AA05,9.14544205964,-7.01691652446,13.3575975882
S01AA12,18.1808219172,-7.0050236977,-2.99343045407
C08DA01,16.5483150282,-2.89021003706,1.16711718639
J01CE01,-6.72290030109,12.3189352118,-12.205337073
S02AA15,-0.561958794085,-10.0016918228,7.85885374403
A15,2.02238847055,10.0187366513,-2.10832737675
M03AX01,-16.6388200683,5.81085778507,6.44185587155
V07AY,-4.39791007166,19.6966664077,4.33197134365
N05AF05,11.9194680575,-16.8577074708,7.32323482485
N06AX21,18.0409608538,10.0528818885,-1.0157887526
B05BA03,-2.88709892835,6.91329962888,7.65023949796
R03AC13,3.29632923332,0.224333858834,-24.911179101
B03XA03,12.3462218469,23.3497285064,0.548652732695
V06DF,10.4910881675,-11.0376095346,16.5592168299
M05BB01,1.53516983756,8.58841363005,-8.44868638599
L01CB01,-5.62832627479,-0.373251830841,2.43578236081
J01CA04,-1.20771630961,12.2709640577,7.22800492678
N06AB08,15.9025653968,9.98883130893,-3.73153233337
A10AB06,-5.3089367542,-13.1865978795,20.470725702
L03AB13,-9.04920092277,-12.086690134,-15.8703743267
H01CB03,-10.6114947855,11.7380668107,18.2114739292
L04AD01,3.71210419046,-2.33229872153,-20.3503046984
J05AG03,10.8009129922,-0.174410128549,-11.5748004552
J05AB06,-1.44676308403,-0.438161862198,8.48631141001
N02CA01,-0.513875154865,7.01578159819,3.37961198726
C09AA03,15.3454755428,-9.7981724114,6.87014608253
L04AX03,-5.07711601831,-14.0675209286,-4.75994399655
M04AC01,5.83415703599,10.70466972,10.8961569236
R03BC03,15.3110293589,1.50982761527,10.7329882159
M01AC01,2.50184274628,-4.27392040952,-7.30199286913
A10BK03,14.441098635,14.2447504231,16.0553741944
L02BB01,-12.1113316338,-10.3294555628,5.38267286966
J01DB03,-9.96638981463,10.7639336577,-12.8586229494
L02BG03,8.0909335644,-4.89209154914,-18.2814289525
L03AA14,-2.84033553431,-4.1660812497,3.80527574607
N05AX12,9.21818486969,-14.1145103662,5.10447704188
N02AA55,6.95699082563,15.7349624377,3.74692040205
S01FA05,16.4615505385,-5.87475417577,-5.49031901622
L03AB03,0.427956988382,1.94988414466,9.66912638627
V03AE05,11.2872125864,19.0131203773,-0.626254934753
R03AL03,-12.0499979505,0.299848701519,13.7773142641
C09DX03,-0.304696904476,-4.59625379537,15.4915827162
A14AB01,0.240285165608,6.08356689875,-4.27585719287
B05AA06,-10.1323102208,11.8689157183,-12.1292402041
N02AX06,9.4575981746,14.7233014133,3.09174787483
G03XB51,7.17339545689,16.1011811686,-16.7375654349
A01AB03,-7.56242540274,15.4919001327,-1.46868456036
L01XE13,1.2879167513,35.7372765022,11.1273966581
S02CA06,11.1973382767,2.27902887487,4.3638287069
L01XX41,4.13166681137,-10.9655407969,-14.5950184982
A07EC02,-7.93359527371,-5.43033526988,-5.50420122957
C03CA01,14.0720315396,-1.62289751379,-1.33708978762
J05AE01,12.1680997963,1.38294578457,-14.2611276851
C10AX09,5.46545582177,-8.75295908966,7.55828594272
N06DA04,-18.6052775749,-1.82239400913,-14.920347321
A06AC51,-7.35452756952,10.9886628122,4.95095531912
R03AL04,-13.818919756,-0.29417434515,13.6306380825
L01XC10,21.5352261917,-3.88954900413,10.2630120662
L04AX06,-7.07753449859,-10.7248032471,7.84172878992
N05AH05,8.59152867283,-13.897345003,2.69947185018
N02BE01,-1.85623781032,1.24814209125,16.2188010122
S01BA01,21.9954429187,-8.37103201738,-1.2725221094
M05BX04,0.0260763227004,18.7049069784,1.84318842728
L01DB07,-1.24709808611,1.71892820601,4.53458837575
A04AA05,-19.5984273931,26.053031064,5.57806327474
L01XE24,3.30213461196,2.31854216355,8.49565933129
S01LA01,5.48107440634,5.89774246867,-2.46589241247
M01AE03,2.41742042273,-3.72970787515,-5.52492366137
J05AG04,15.6832838296,4.14502199671,-10.0645518904
G03FB05,3.58659485072,3.70243399498,23.5676410035
A02BD06,13.8498655358,8.48760566531,6.024051811
L01AA06,-3.4020670888,-5.98373395976,5.7004985198
N03AE01,7.65528941996,2.83599365948,-4.16562964255
C09BA06,13.3625064754,-7.49763872274,11.9216861935
A02BC05,0.304588842832,13.7976518836,10.2207811308
V03AC01,-11.3883077143,-6.58956379112,14.3596754585
A10BD13,11.8820551286,13.4453267584,12.2245555163
C09AA10,17.2345255902,-9.11448581769,6.66940637678
J05AF01,14.0882200323,0.437430196513,-13.5211225221
G03FB08,4.72658452002,3.12140497004,22.0706786435
A16AX07,1.91223625202,3.60845954235,0.680929686919
H02AB08,13.8402940079,6.98726656499,3.04356746074
A16AA06,-3.46048825515,8.54571270076,0.695919481709
S01XA22,8.75659629037,2.68567438894,2.27940920729
M01CC01,1.05869172321,-10.2031958548,-0.804707777577
L04AA29,-2.42249614621,-13.6471984036,-0.168209905874
J04AC01,3.63188788387,-3.26647411011,4.29166489431
L02AE,-13.7648649596,-11.4071771651,8.58189509906
C03BA11,5.98907840457,15.3116086703,-7.6130736771
N06AA04,16.1715083901,7.82272989257,-3.00943973007
C09DB02,1.34526775279,-5.78082090734,15.5135855888
M01AH01,4.51139413638,-4.55090337682,-4.80880886524
C09BB02,1.84495190838,-7.38407457911,13.6699380669
L01XX45,-6.66016792338,-9.32304243253,8.66611539138
L01BC07,0.999096271367,-2.53465816822,8.39818686033
L04AA18,-0.549435149583,-7.62560413031,-19.5711788791
N06AX,8.00868343561,-12.2022484802,5.06941684634
H03BB01,7.73630646517,8.32828511435,-3.05224966986
L01XC06,-6.93763601667,1.15843833807,-18.6809814995
H01CA02,11.8607882857,-7.86408167615,-10.9688376833
D11AX18,-9.49399676665,14.9655661919,6.2328595724
J01XD02,11.1508388743,3.72513004794,0.496754513072
L03AX16,-3.03069667815,-2.11659393488,5.17593676314
M05BA05,3.42624559452,8.18459025926,-1.64299358545
L02AE04,-16.0607962206,-13.8938203716,9.22774516341
L02AB01,2.27042234275,-9.46827825322,-9.84547676213
N03AX22,7.07462485479,-2.17094210215,-6.75417608298
L01XE03,-1.72968393702,6.32058537804,-11.4856814478
C10AC02,-12.0862711225,-4.93390376928,-8.6421468525
R01AC01,-6.96802701217,11.162617486,0.921049632715
N04AC01,11.3953061446,-13.1346143988,5.58616166494
C09AA06,17.1192537464,-10.308642543,7.92962597923
C02KX04,9.24252566592,-15.3987991584,-5.0629786886
A07DA03,6.47483396998,-5.15565009335,13.4487733284
S01EE04,2.11041117864,5.31560732738,-17.3454422503
R01AX03,-6.24559061494,17.9105299516,3.38747529371
J01CF05,12.2554502508,-2.93820413932,4.30019853407
L01XE31,-2.5738517958,0.634404770635,-19.3297461473
N05BE01,-7.68873880789,8.25621400294,4.70277794447
V06DC,7.75372899295,16.6075601851,-3.4183567481
N03AX11,-14.1089400842,4.43265569694,5.6797252702
J01CA01,-8.53799882025,7.82715200372,-14.0176097276
L01XE25,-5.65628060822,4.72807181484,11.8426272231
G03AC06,3.49201264087,13.2591449031,-17.602308386
J01DD01,-9.13495303843,10.6055814154,-14.9678455211
N06AX18,14.9176170441,6.74405963731,-3.85951237305
A07AA09,-3.89702016353,4.97222082503,-6.74099037694
R06AX26,-7.66990189933,16.4674418071,3.51351001329
J05AE,10.2937559326,2.46397963949,-11.7504585625
L01XE07,2.11257447146,-10.6098255652,-14.997859833
N06AB05,14.4808258876,12.1657576017,-1.94148537548
J01XE01,1.14637709216,10.2349789778,17.1780965279
J05AE12,-7.43311896008,12.0882032114,-5.79389826877
G03AA05,3.89593581839,11.7036418038,-16.5016084615
C09BA04,7.61518807861,6.72641041506,14.5678539368
B03AD02,19.3649673467,5.3489878213,11.9579504616
B01AB06,4.34436467315,10.6835561852,4.16624347618
L02BB03,-14.2403712908,-11.0288888739,5.4277007011
V07AB,-10.1884920096,10.5706191584,-17.117406278
A06AX01,21.4456445594,4.82083055958,0.906906612416
J01MA02,10.1423468713,-0.752062443953,3.8512679639
A04AA01,0.840569776221,0.416689334155,2.29540718213
A10BD07,10.6230879343,15.0644589212,10.777963213
A06AB02,21.3348752919,2.43862480401,0.171167199774
N07AB02,10.157793034,9.63381658316,-2.4531345524
J05AR17,10.7186508056,6.83287036403,-12.1239187908
M01CB03,-0.223008748574,-10.9107169404,1.84769706554
L01XC02,1.30327739597,-1.54160372093,5.64479710361
N03AF02,9.91466450769,-0.269043745908,-5.87641335782
L01XC14,3.65370906873,-10.7962372857,-13.109174499
J05AP08,-13.1937970907,11.5922419863,-3.96943259136
S01GX02,-11.8695894009,14.7221496324,2.37455358197
C03DA01,-6.62483965388,-0.0863168757093,8.67915543236
N03AD01,8.14486547401,-3.12217806867,-4.76056949518
A10AE05,-1.34743225441,-21.3847311032,8.53376816279
D01AC02,-7.87198278277,-15.7747574727,1.29266264847
C09AA09,15.123777694,-10.6682489226,9.038491298
M05BB04,3.97730364362,20.5877086989,1.40536796766
J05AR06,7.47663506367,5.60477720178,-18.3253144947
G03GA07,10.5628315972,-7.89171682727,-9.12359277955
A10BB12,12.386592372,19.4765353851,-8.90669647259
G03DA04,10.9779760106,-6.67291583162,-7.45717862456
J05AR14,10.7967387679,5.16490540109,-10.0133171812
J02AC04,-1.68815124647,-1.46429490831,10.613676029
N06AA12,12.6329400735,12.1214543853,0.981119878249
R03AL05,-12.459355696,-1.18258318399,12.3580714138
N06AF04,10.5907438599,-8.14780505963,-2.01876221329
J05AE02,12.5883646295,1.096282819,-19.2811911572
L04AX05,-11.3213638002,6.90609950848,-7.76292527795
B03XA01,12.4692434315,21.9255472652,-1.03955261389
G04CA01,-5.64882513256,8.53339734636,5.20401381579
V03AB15,-15.5675581765,9.99717968178,-3.29600799906
N03AA02,10.594907713,-0.101898074352,-2.90316487089
N06AX16,16.4405726667,10.9917265771,-1.81598041465
R03BA08,16.574911266,1.2474462103,14.2482759186
L04AC05,-7.15423363528,-18.4023675465,-10.4312837888
C10BA05,3.80123592729,-9.95619336351,10.4561188393
C01DX16,18.2687038231,9.08038750223,7.39698486462
J05AX08,12.5989568991,2.08391087149,-8.80735356604
L01XC17,-7.44913918572,2.35497853601,11.4455667016
N02CA04,-15.1182185071,5.87682386151,10.7808949196
G03GA01,11.8530611753,-6.06404917498,-9.75896000773
A07AA11,-2.26470547538,12.4334479775,-5.8204300908
N06DA03,-19.0790870397,2.91373345179,-12.347517646
